2012A-0000, false, Nat Butler, Calibration: NIR Standard Stars
2012A-0001, false, Nat Butler, Calibration: ugriz/UBV Standard Stars
2012A-0002, false, Nat Butler, Calibration: Cluster Fields
2012A-0003, false, Nat Butler, Calibration: Galaxy Fields
2012A-0004, false, Nat Butler, Calibration: Blank Fields
2012A-0005, false, Alan Watson, Calibration: Pointing Maps
2012A-0006, false, Leonid Georgiev, Calibration: Biases
2012A-0007, false, Leonid Georgiev, Calibration: Darks
2012A-0008, false, Leonid Georgiev, Calibration: Flats
2012A-0009, false, Leonid Georgiev, Calibration: Focusing
2012A-0010, false, Nat Butler, Miscellaneous
2012A-1000, true, Nat Butler, GRB Key Project
2012A-1001, true, Armando Arellano, Fotometria CCD de estrellas largo periodo en cumulos globulares
2012A-1002, true, Eduardo Rubio-Herrera, Probing for Optical/Near-Infrared Transient Emission in Neutron Stars
2012A-1003, true, Ori Fox, The Core-Collapse Supernova Zoo
2012A-1004, true, Luis Corral, Monitoreo de LBV y cLBV en Galaxias Cercanas
2012A-1005, true, Eva Noyola, Mapping the Stellar Density for the Galactic Globular Cluster M15
2012A-1006, true, Carlos Roman, Pilot Survey for Early Type Dwarfs In Cygnus-X
2012B-1001, true, Mauricio Tapia, Estudio fotometrico de V2187 Cyg
2012B-1002, true, Sergei Zharikov, The gi photometrical and astronomical calibration of the Fermi pulsars field
2012B-1003, true, Lester Fox, Multisite observations of the KUV 03442+0719 pulsating DA white dwarf
2012B-1004, true, Alan Watson, Stellar and Substellar Variability and Rotation at Very Early Ages and Very Low Mass
2012B-1005, true, Nat Butler, Photometric Survey for Variability in Ultracool Dwarfs
2012B-1006, true, Nat Butler, On the Optical and X-ray Variabilities of distant AGNs in SSA 22
2012B-1007, true, Rafael Costero, Curvas fotométricas de estrellas binarias peculiares
2012B-1008, true, Ori Fox, The Core-Collapse Supernova Zoo
2012B-1009, true, Ori Fox, Working Towards a Deep Type Ia Hubble Diagram in the Infrared
2012B-1010, true, Phillipe Eenens, Fotometria de la binaria eclipsante CQ Cep
2012B-1011, true, Carlos Roman, Como evoluciona la variabilidad fotometrica de las enanas marrones durante sus primeros 10 millones de anyos?
2013A-1001, true, Sergei Zharikov, The gi photometrical and astronomical calibration of the Fermi pulsars field
2013A-1002, true, Carlos Roman, La poblacion joven que circunda el cumulo LkHa-101
2013A-1003, true, Phillipe Eenens, Fotometria del sistema masivo triple Cyg OB2 5
2013A-1004, true, Alan Watson, Stellar and Substellar Variability and Rotation at Very Early Ages and Very Low Mass
2013A-1005, true, Maria Eugenia Contreras, Estudio de envolturas circunestelares de estrellas AGB en el Infrarojo
2013A-1006, true, Nat Butler, Characterizing Quasar Variability in the Optical and NIR with RATIR
2013A-1007, true, Christopher Klein, Multi-band Period-Luminosity Relations of Pulsating Variable Stars
2013A-1008, true, Alexander Kutyrev, RATIR Observations of Cosmic IR Background Fluctuations: A Pathfinder Investigation
2013A-1009, true, Ori Fox, The Core-Collapse Supernova Zoo
2013A-1010, true, Nat Butler, Photometic Survey for Variability in Ultracool Dwarfs
2013A-1011, true, Ori Fox, Working Towards a Depp Type 1a Hubber Diagram in the Infrared
2013A-1012, true, Alexander Kutyrev, NIR Photometic Monitoring of Fermi Blazars
2013A-1013, true, Yair Krongold, Monitoreo fotometrico de 4 AGNs brillantes
