  +9.79765  -25.10304   56.92573      -5.14      -0.59
  +9.73191   -5.11658   37.33808      -1.98       0.28
  +9.72313   14.87348   18.46180      +2.27      -2.73
  +9.70073   34.86559    8.98594      -2.23       7.56
  +9.64536   54.85839   24.78357      -1.20      -5.87
  +9.42881   74.85111   44.05539      -0.84       0.27
 +29.71239  -35.09046   71.79621      +4.67      -1.24
 +29.71718  -15.11206   54.27499      +3.52       1.53
 +29.71744    4.87684   38.25831      +5.28      -2.17
 +29.70627   24.86864   26.86957      +1.92       2.65
 +29.66644   44.86142   26.94190      -1.15      -9.18
 +29.56371   64.85507   38.41821      -0.29      -0.09
 +28.58542   84.84751   54.46509      -5.90      -0.48
 +49.71449   -5.11740   59.61764      +2.56      -0.76
 +49.69811   14.87258   48.08954      +0.65      -6.73
 +49.67522   34.86523   41.43433      -1.61       5.02
 +49.61485   54.85933   42.16287      -3.53      -5.48
 +49.37528   74.85353   49.94226      -0.80      -0.39
 +69.69163    4.88279   70.11247      +1.61      -6.35
 +69.67218   24.87177   60.86094      -0.70      -4.67
 +69.63623   44.86491   54.89220      -2.42      -1.62
 +69.52462   64.85981   53.54526      -1.23      -2.84
 +68.45470   84.85529   57.18999      -0.04      -3.89
 +89.59150   54.86889   64.83102      -2.31      -4.67
+109.49482   64.87658   69.78540      -3.25      -2.81
+108.40588   84.86857   60.69511      +5.56       2.67
+129.31406   74.88234   69.12665      -2.49       2.17
+148.49811   84.88163   63.35297      +4.67       9.44
  +4.79361  -35.08730   66.28638      -9.27      -2.47
  +4.72656  -25.09883   56.32620      -5.51       1.52
  +4.72662  -15.10658   46.37518      -2.14       1.95
  +4.72853   -5.11281   36.43944      +0.13       2.35
  +4.72824    4.88170   26.53882      +4.51      -0.09
  +4.72012   14.87706   16.73659      +5.40       1.44
  +4.71076   24.87272    7.44203      +8.43       8.90
  +4.69772   34.86848    5.48970      +9.19      17.93
  +4.67852   44.86471   14.29645      +2.51      -9.49
  +4.64201   54.86113   24.04408      +2.18      -4.13
  +4.57863   64.85754   33.93143      +3.43       0.12
  +4.42760   74.85339   43.86313      +1.47      -0.92
  +3.66705   84.84854   53.81420      -6.22      -5.92
 +14.73112  -30.09480   62.72251      -8.03      -4.60
 +14.71729  -20.10425   53.06632      -6.99      -0.96
 +14.72298  -10.11082   43.51264      -6.18       0.87
 +14.71929   -0.11652   34.14800      -5.12      -2.33
 +14.71884    9.87869   25.19898      -2.55      -1.41
 +14.71066   19.87406   17.32320      -1.03       3.45
 +14.69848   29.86986   12.71519      -3.12       8.65
 +14.68183   39.86611   14.82730      -4.04      -6.81
 +14.65508   49.86249   21.78455      -1.81      -2.19
 +14.60796   59.85911   30.42578      -1.96       1.64
 +14.51249   69.85542   39.66268      -0.65       2.15
 +14.21736   79.85133   49.15693      -1.21      -0.86
 +24.71467  -35.08781   70.09917      +5.26      -1.46
 +24.70783  -25.10044   60.91866      +4.60       2.21
 +24.71184  -15.10843   51.90446      +6.50       2.11
 +24.71433   -5.11462   43.18001      +4.42       1.70
 +24.71150    4.88027   34.98001      +6.34      -1.23
 +24.70791   14.87568   27.79356      +6.59      -0.01
 +24.70124   24.87145   22.61994      +5.09       3.78
 +24.68611   34.86778   21.00759      +1.50       6.91
 +24.66248   44.86410   23.69978      +0.57      -8.06
 +24.62682   54.86078   29.54153      +0.64      -2.92
 +24.56001   64.85736   37.06655      +1.36       1.88
 +24.40039   74.85383   45.43923      -1.19       2.58
 +23.58850   84.84943   54.25887      -5.56      -1.10
 +34.71073  -30.09396   69.46616      +1.89      -0.19
 +34.70137  -20.10487   61.04170      +0.29       2.86
 +34.70807  -10.11191   52.92759      -0.99       3.40
 +34.70615   -0.11787   45.31058      +0.13      -1.61
 +34.70506    9.87744   38.52266      -0.81      -2.25
 +34.69635   19.87326   33.09425      -2.29       0.43
 +34.68557   29.86941   29.80086      -2.22       5.58
 +34.67349   39.87230   29.38031      -4.74      -0.29
 +34.63795   49.86893   31.93558      -2.36      -0.66
 +34.58898   59.86580   36.85926      -1.94       2.63
 +34.48516   69.86263   43.33791      -1.51       3.65
 +34.17417   79.85900   50.76772      +1.39       1.33
 +44.70101  -25.09151   70.56082      +1.95       4.92
 +44.69086  -15.10175   63.01983      -0.43       3.41
 +44.69469   -5.10856   55.89590      +0.20      -0.14
 +44.69494    4.88615   49.40184      -1.98      -1.41
 +44.69095   14.88162   43.85486      -1.78      -3.69
 +44.68382   24.87761   39.68361      -4.25       1.73
 +44.66659   34.87426   37.36555      -3.88       7.02
 +44.64441   44.87100   37.26485      -4.81      -3.72
 +44.60717   54.86788   39.39597      -4.04      -3.48
 +44.53530   64.86502   43.42398      -2.09       0.38
 +44.36678   74.86192   48.87003      -0.95       1.02
 +43.50983   84.85857   55.29664      -2.06       0.25
 +54.70157  -10.10338   66.61436      +1.59       2.85
 +54.68757   -0.11026   60.38020      +3.98      -2.70
 +54.68680    9.88448   54.80065      +0.86      -4.38
 +54.66877   29.87657   46.64515      -0.97       3.60
 +54.64900   39.87332   44.67877      -3.61       3.35
 +54.62188   49.87037   44.43723      -1.34       1.99
 +54.56852   59.86760   45.94363      -2.27       1.57
 +54.46256   69.86505   49.03328      +0.37       1.95
 +54.13479   79.86214   53.41459      +2.51      -0.83
 +64.68657   -5.10304   71.39754      +1.35       0.30
 +64.67797    4.88941   65.85404      +2.69      -4.69
 +64.67246   14.88393   60.87702      -0.49      -7.38
 +64.66804   24.87984   56.66558      -1.50      -1.72
 +64.65017   34.87628   53.42869      -1.79       4.97
 +64.62778   44.87321   51.38925      -0.84       0.65
 +64.58928   54.87056   50.70366      -0.11      -0.56
 +64.51556   64.86800   51.43094      +2.87      -1.14
 +64.33958   74.86569   53.50906      +3.87      -1.00
 +63.44642   84.86307   56.77419      +5.88      -1.25
 +74.67291   19.88521   67.14638      -1.42      -6.98
 +74.64792   29.88066   63.02499      -2.63      -0.91
 +74.63465   39.87709   59.67742      -2.52       0.81
 +74.60266   49.87415   57.25251      +1.37       5.50
 +74.54895   59.87144   55.90160      +2.42       4.54
 +74.43995   69.86940   55.71495      +3.34       0.82
 +74.10239   79.86710   56.70409      +6.99      -3.52
 +84.63974   34.88359   68.86292      +0.69      -1.69
 +84.60655   44.87930   65.10460      +1.17      -4.26
 +84.57284   54.87617   62.06733      +2.02       0.36
 +84.49368   64.87361   59.87910      +2.80       2.98
 +84.31608   74.87149   58.66833      +6.84       1.41
